,Category,,,,,,,,,
Gender,eosio,chess,pm,iota,workplace,elementaryos,materials,sqa,diy,ham
F,4.00,0.30,0.59,1.00,1.27,0.00,1.00,0.40,0.29,0.17
M,0.06,1.33,1.58,0.27,1.99,0.71,0.29,1.01,0.84,0.71
Career Words Gap,3.94 ,1.03 ,0.99 ,0.73 ,0.72 ,0.71 ,0.71 ,0.61 ,0.55 ,0.54 
